0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2000, 4000, 6000, 8000, 10000, 12000, 14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000, 
1750, 3500, 5250, 7000, 8750, 10500, 12250, 14000, 15750, 17500, 19250, 21000, 22750, 24500, 26250, 28000, 29750, 31500, 
1532, 3063, 4594, 6125, 7657, 9188, 10719, 12250, 13782, 15313, 16844, 18375, 19907, 21438, 22969, 24500, 26032, 27563, 
1341, 2681, 4020, 5360, 6700, 8040, 9380, 10719, 12060, 13399, 14739, 16079, 17419, 18759, 20098, 21438, 22778, 24118, 
1174, 2346, 3518, 4690, 5863, 7035, 8208, 9380, 10553, 11725, 12897, 14070, 15242, 16415, 17586, 18759, 19931, 21104, 
1028, 2053, 3079, 4104, 5131, 6156, 7182, 8208, 9234, 10260, 11285, 12312, 13337, 14364, 15388, 16415, 17440, 18466, 
900, 1797, 2695, 3591, 4490, 5387, 6285, 7182, 8080, 8978, 9875, 10773, 11670, 12569, 13465, 14364, 15260, 16158, 
788, 1573, 2359, 3143, 3929, 4714, 5500, 6285, 7070, 7856, 8641, 9427, 10212, 10998, 11782, 12569, 13353, 14139, 
690, 1377, 2065, 2751, 3438, 4125, 4813, 5500, 6187, 6874, 7561, 8249, 8936, 9624, 10310, 10998, 11684, 12372, 
604, 1205, 1807, 2408, 3009, 3610, 4212, 4813, 5414, 6015, 6616, 7218, 7819, 8421, 9022, 9624, 10224, 10826, 
529, 1055, 1582, 2107, 2633, 3159, 3686, 4212, 4738, 5264, 5789, 6316, 6842, 7369, 7895, 8421, 8946, 9473, 
463, 924, 1385, 1844, 2304, 2765, 3226, 3686, 4146, 4606, 5066, 5527, 5987, 6448, 6909, 7369, 7828, 8289, 
